time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-08T13:54:23.044Z,35.5226,139.1011,33.99,4.5,mb,,102,1.13,0.62,us,us70004eqe,2019-07-08T15:46:52.915Z,"10km S of Uenohara, Japan",earthquake,5.4,5.1,0.081,45,reviewed,us,us
2019-07-08T13:39:06.960Z,35.5506667,-117.3768333,2.75,2.67,ml,28,73,0.02755,0.19,ci,ci38487351,2019-07-08T13:49:59.590Z,"24km S of Trona, CA",earthquake,0.34,0.38,0.205,24,automatic,ci,ci
2019-07-08T13:33:14.421Z,56.2731,-150.4254,0,2.9,ml,,,,1.01,ak,ak0198osibtd,2019-07-08T13:47:22.645Z,"207km SE of Kodiak, Alaska",earthquake,,6.5,,,automatic,ak,ak
2019-07-08T13:25:35.630Z,36.0385,-117.9048333,27.72,2.92,ml,17,142,0.03285,0.34,ci,ci38487215,2019-07-08T13:29:27.855Z,"4km E of Coso Junction, CA",earthquake,0.94,1.21,0.231,24,automatic,ci,ci
2019-07-08T13:03:48.910Z,35.9285,-117.6856667,2.7,2.64,ml,27,50,0.03457,0.15,ci,ci38487015,2019-07-08T13:15:02.430Z,"20km E of Little Lake, CA",earthquake,0.19,0.35,0.145,26,automatic,ci,ci
2019-07-08T12:59:28.640Z,36.0276667,-117.8455,1.98,2.62,ml,28,112,0.04148,0.16,ci,ci38486959,2019-07-08T13:09:58.380Z,"9km ESE of Coso Junction, CA",earthquake,0.26,0.37,0.181,25,automatic,ci,ci
2019-07-08T12:42:38.190Z,35.7156677,-117.5686646,6.1,3.07,ml,47,57,0.1026,0.13,ci,ci38486831,2019-07-08T14:58:53.880Z,"14km NE of Ridgecrest, CA",earthquake,0.18,0.72,0.224,19,reviewed,ci,ci
2019-07-08T12:38:36.170Z,36.0586667,-117.8618333,-0.26,2.65,ml,25,60,0.05906,0.2,ci,ci38486807,2019-07-08T12:42:30.978Z,"8km E of Coso Junction, CA",earthquake,0.32,31.61,0.172,25,automatic,ci,ci
2019-07-08T12:28:18.610Z,35.6116667,-117.3431667,3.42,2.45,ml,23,116,0.08826,0.3,ci,ci38486711,2019-07-08T12:39:14.300Z,"17km S of Trona, CA",earthquake,0.63,1.9,0.307,26,automatic,ci,ci
2019-07-08T12:21:28.520Z,35.6711655,-117.5238342,8.98,3.26,ml,46,61,0.09828,0.14,ci,ci38486639,2019-07-08T14:58:43.160Z,"15km ENE of Ridgecrest, CA",earthquake,0.19,0.58,0.318,18,reviewed,ci,ci
2019-07-08T12:20:12.936Z,62.2203,-150.0096,59.9,2.5,ml,,,,1.35,ak,ak0198oru3wt,2019-07-08T12:30:23.805Z,"10km NW of Y, Alaska",earthquake,,1.5,,,automatic,ak,ak
2019-07-08T12:14:57.880Z,35.6246681,-117.435997,7.14,3.55,ml,65,29,0.1153,0.18,ci,ci38486591,2019-07-08T15:20:13.554Z,"16km S of Searles Valley, CA",earthquake,0.17,1.09,0.306,18,reviewed,ci,ci
2019-07-08T12:07:38.790Z,35.6225,-117.4361667,8.07,2.61,ml,29,97,0.04172,0.16,ci,ci38486535,2019-07-08T12:18:41.840Z,"16km S of Searles Valley, CA",earthquake,0.29,0.62,0.158,25,automatic,ci,ci
2019-07-08T11:45:02.810Z,35.8983333,-117.7341667,2.58,2.78,ml,29,35,0.08409,0.15,ci,ci38486295,2019-07-08T12:31:55.845Z,"16km ESE of Little Lake, CA",earthquake,0.19,0.34,0.149,26,automatic,ci,ci
2019-07-08T11:34:56.010Z,35.9430008,-117.7198334,1.88,2.95,ml,29,100,0.05657,0.24,ci,ci38486199,2019-07-08T14:59:22.215Z,"17km E of Little Lake, CA",earthquake,0.36,0.57,0.243,25,reviewed,ci,ci
2019-07-08T11:25:48.210Z,36.0308333,-117.8473333,1.93,2.89,ml,28,52,0.04183,0.16,ci,ci38486087,2019-07-08T11:29:40.164Z,"9km E of Coso Junction, CA",earthquake,0.23,0.38,0.194,26,automatic,ci,ci
2019-07-08T11:23:22.660Z,35.9066658,-117.7083359,4.59,3.21,ml,49,37,0.0625,0.18,ci,ci38486063,2019-07-08T14:59:08.280Z,"18km E of Little Lake, CA",earthquake,0.2,0.49,0.306,20,reviewed,ci,ci
2019-07-08T11:18:54.260Z,35.7956667,-117.6196667,3.69,2.46,ml,25,56,0.02694,0.17,ci,ci38486007,2019-07-08T11:29:29.220Z,"20km W of Searles Valley, CA",earthquake,0.24,0.65,0.133,26,automatic,ci,ci
2019-07-08T10:44:12.710Z,35.9013333,-117.731,5.26,2.8,ml,29,38,0.08026,0.2,ci,ci38485711,2019-07-08T10:54:48.010Z,"16km ESE of Little Lake, CA",earthquake,0.27,1.16,0.217,25,automatic,ci,ci
2019-07-08T10:18:54.167Z,15.9942,-96.5161,37.28,4.3,mb,,186,2.508,0.81,us,us70004emy,2019-07-08T13:55:54.354Z,"26km NW of Huatulco, Mexico",earthquake,11.2,12.9,0.044,149,reviewed,us,us
2019-07-08T10:11:22.900Z,36.118,-117.8526688,4.92,2.71,ml,27,211,0.001823,0.13,ci,ci38485487,2019-07-08T10:22:17.510Z,"12km NE of Coso Junction, CA",earthquake,0.51,0.43,0.27,25,automatic,ci,ci
2019-07-08T09:57:11.030Z,35.6506653,-117.4641647,8.76,3.5,mw,68,39,0.06405,0.19,ci,ci38485391,2019-07-08T15:05:24.797Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.55,,6,reviewed,ci,ci
2019-07-08T09:37:07.270Z,35.6835,-117.478,2.35,2.68,ml,28,64,0.09764,0.16,ci,ci38485271,2019-07-08T09:47:45.720Z,"12km SW of Searles Valley, CA",earthquake,0.26,0.81,0.164,25,automatic,ci,ci
2019-07-08T09:17:28.080Z,35.7641667,-117.5696667,6.71,2.71,ml,28,128,0.05622,0.14,ci,ci38485087,2019-07-08T09:28:22.500Z,"15km W of Searles Valley, CA",earthquake,0.25,0.58,0.141,25,automatic,ci,ci
2019-07-08T09:16:24.380Z,36.111,-117.8298333,2.64,2.45,ml,23,58,0.0213,0.19,ci,ci38485079,2019-07-08T09:27:19.990Z,"13km NE of Coso Junction, CA",earthquake,0.28,0.45,0.146,26,automatic,ci,ci
2019-07-08T09:00:20.790Z,35.5348333,-117.349,2,2.73,ml,31,75,0.01605,0.2,ci,ci38484919,2019-07-08T09:10:52.075Z,"26km S of Trona, CA",earthquake,0.36,0.63,0.146,26,automatic,ci,ci
2019-07-08T08:44:09.081Z,56.2779,-154.0522,9.9,4.1,ml,,,,0.91,ak,ak0198opliiu,2019-07-08T10:36:17.069Z,"110km ENE of Chirikof Island, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2019-07-08T08:20:02.420Z,36.1191673,-117.8598328,2.88,3.9,mw,55,51,0.004327,0.2,ci,ci38484631,2019-07-08T15:02:24.643Z,"12km NE of Coso Junction, CA",earthquake,0.22,0.36,,4,reviewed,ci,ci
2019-07-08T08:18:08.640Z,36.1263333,-117.8553333,4.68,2.62,ml,23,53,0.008744,0.17,ci,ci38484615,2019-07-08T08:29:09.820Z,"12km NE of Coso Junction, CA",earthquake,0.31,0.47,0.142,26,automatic,ci,ci
2019-07-08T08:12:33.340Z,35.5655,-117.4055,3.21,2.5,ml,27,71,0.05075,0.18,ci,ci38484599,2019-07-08T08:23:05.520Z,"22km S of Trona, CA",earthquake,0.35,0.91,0.227,25,automatic,ci,ci
2019-07-08T08:07:38.290Z,35.6908333,-117.5516667,0.27,2.89,ml,16,140,0.1271,0.37,ci,ci38484559,2019-07-08T08:11:50.136Z,"14km NE of Ridgecrest, CA",earthquake,0.75,31.61,0.267,24,automatic,ci,ci
2019-07-08T07:52:28.120Z,36.0525,-117.8515,1.51,2.78,ml,23,76,0.05467,0.13,ci,ci38484479,2019-07-08T08:03:14.380Z,"9km E of Coso Junction, CA",earthquake,0.24,0.35,0.223,25,automatic,ci,ci
2019-07-08T07:42:20.920Z,35.638,-117.4445,6.42,2.59,ml,27,68,0.05337,0.12,ci,ci38484367,2019-07-08T07:53:34.350Z,"15km SSW of Searles Valley, CA",earthquake,0.23,0.55,0.14,25,automatic,ci,ci
2019-07-08T07:35:49.250Z,35.8883333,-117.7015,3.03,2.49,ml,25,46,0.0938,0.18,ci,ci38484327,2019-07-08T07:46:26.820Z,"19km ESE of Little Lake, CA",earthquake,0.26,1.13,0.152,25,automatic,ci,ci
2019-07-08T07:31:58.410Z,36.1580009,-117.8755035,2.62,3.54,ml,54,51,0.04366,0.19,ci,ci38484311,2019-07-08T16:07:46.667Z,"14km NNE of Coso Junction, CA",earthquake,0.21,0.42,0.249,24,reviewed,ci,ci
2019-07-08T07:28:32.090Z,35.6833333,-117.4898333,8.4,2.59,ml,30,64,0.09921,0.29,ci,ci38484295,2019-07-08T07:39:20.490Z,"12km SW of Searles Valley, CA",earthquake,0.52,1.49,0.125,25,automatic,ci,ci
2019-07-08T07:18:34.640Z,35.5458336,-117.3785019,2.02,3.4,ml,57,50,0.02375,0.21,ci,ci38484231,2019-07-08T13:44:02.733Z,"24km S of Trona, CA",earthquake,0.22,0.3,0.239,24,automatic,ci,ci
2019-07-08T07:04:01.240Z,37.799,-114.3113,14.9,2.5,ml,24,118.33,0.215,0.26,nn,nn00692933,2019-07-08T12:20:54.458Z,"19km SE of Pioche, Nevada",earthquake,,0.8,,,automatic,nn,nn
2019-07-08T07:00:31.425Z,31.7748,49.5422,10,5.7,mb,,36,2.012,0.87,us,us70004ejm,2019-07-08T15:28:29.805Z,"28km SE of Masjed Soleyman, Iran",earthquake,7,1.8,0.029,429,reviewed,us,us
2019-07-08T06:55:57.886Z,-2.5348,138.5082,10,5.6,mb,,41,6.263,1.21,us,us70004ejj,2019-07-08T08:57:44.280Z,"231km W of Abepura, Indonesia",earthquake,8.1,1.8,0.038,239,reviewed,us,us
2019-07-08T06:47:20.570Z,35.893,-117.7263333,2.38,2.67,ml,28,36,0.08989,0.17,ci,ci38483999,2019-07-08T07:02:50.858Z,"17km ESE of Little Lake, CA",earthquake,0.21,0.39,0.094,25,automatic,ci,ci
2019-07-08T06:45:16.620Z,35.7290001,-117.5674973,6.24,3.15,ml,55,44,0.1534,0.15,ci,ci38483983,2019-07-08T15:00:44.793Z,"15km WSW of Searles Valley, CA",earthquake,0.17,0.72,0.25,17,reviewed,ci,ci
2019-07-08T06:20:10.215Z,0.4148,126.2644,10,5.5,mww,,26,1.157,0.96,us,us70004eiy,2019-07-08T08:21:54.172Z,"129km WSW of Kota Ternate, Indonesia",earthquake,2.9,1.8,0.069,20,reviewed,us,us
2019-07-08T06:18:08.290Z,35.9613342,-117.2756653,0.41,3.04,ml,44,45,0.07051,0.2,ci,ci38483743,2019-07-08T15:01:18.412Z,"24km NNE of Trona, CA",earthquake,0.23,0.74,0.182,24,reviewed,ci,ci
2019-07-08T06:15:04.200Z,35.1355,-95.33833333,10.44,2.83,ml,43,105,0.8530326059,0.17,ok,ok2019nfyy,2019-07-08T13:59:23.453Z,"3km ENE of Quinton, Oklahoma",earthquake,,2.9,0.23,8,reviewed,ok,ok
2019-07-08T06:10:21.030Z,36.166,-117.875,2.68,2.51,ml,19,57,0.051,0.21,ci,ci38483671,2019-07-08T06:14:09.926Z,"15km NNE of Coso Junction, CA",earthquake,0.41,0.87,0.177,25,automatic,ci,ci
2019-07-08T05:54:05.190Z,35.8720016,-117.7131653,7.88,3.55,ml,51,32,0.07598,0.19,ci,ci38483591,2019-07-08T15:10:47.749Z,"19km ESE of Little Lake, CA",earthquake,0.23,0.55,0.283,18,reviewed,ci,ci
2019-07-08T05:43:10.600Z,35.8715,-117.7208333,0.13,2.72,ml,25,55,0.1106,0.28,ci,ci38483527,2019-07-08T13:06:57.687Z,"18km ESE of Little Lake, CA",earthquake,0.38,31.61,0.159,25,automatic,ci,ci
2019-07-08T05:24:16.760Z,35.9496651,-117.7223358,2.05,3.19,ml,49,60,0.07737,0.15,ci,ci38483383,2019-07-08T15:01:46.011Z,"17km E of Little Lake, CA",earthquake,0.18,0.38,0.3,24,reviewed,ci,ci
2019-07-08T05:18:54.440Z,35.914,-117.7386667,2.64,2.68,ml,28,37,0.07321,0.2,ci,ci38483343,2019-07-08T05:29:39.840Z,"15km E of Little Lake, CA",earthquake,0.27,0.53,0.197,26,automatic,ci,ci
2019-07-08T05:15:02.760Z,35.6763344,-117.5473328,3.95,3.09,ml,52,59,0.1133,0.14,ci,ci38483327,2019-07-08T15:01:40.048Z,"13km ENE of Ridgecrest, CA",earthquake,0.15,0.56,0.198,20,reviewed,ci,ci
2019-07-08T05:13:56.590Z,35.6176667,-117.5843333,8.17,2.45,ml,17,109,0.1043,0.18,ci,ci38483311,2019-07-08T05:17:48.746Z,"8km E of Ridgecrest, CA",earthquake,0.29,1.01,0.123,30,automatic,ci,ci
2019-07-08T05:13:38.180Z,35.8921667,-117.73,1.85,2.51,ml,24,35,0.08811,0.13,ci,ci38483303,2019-07-08T05:24:30.720Z,"17km ESE of Little Lake, CA",earthquake,0.19,0.32,0.152,25,automatic,ci,ci
2019-07-08T05:12:46.600Z,36.1175,-117.8905,3.96,2.48,ml,21,58,0.02886,0.24,ci,ci38483295,2019-07-08T05:16:38.722Z,"10km NNE of Coso Junction, CA",earthquake,0.51,0.74,0.165,26,automatic,ci,ci
2019-07-08T05:02:10.470Z,35.8714981,-117.7228317,6.27,3.13,ml,43,49,0.0715,0.17,ci,ci38483215,2019-07-08T15:01:52.065Z,"18km ESE of Little Lake, CA",earthquake,0.22,0.63,0.384,21,reviewed,ci,ci
2019-07-08T04:59:54.530Z,35.9586667,-117.2846667,5.03,2.82,ml,23,86,0.06758,0.22,ci,ci38483199,2019-07-08T05:55:26.905Z,"23km NNE of Trona, CA",earthquake,0.37,1.48,0.161,25,automatic,ci,ci
2019-07-08T04:53:58.400Z,36.1178333,-117.8858333,-0.07,2.5,ml,22,58,0.02508,0.19,ci,ci38483151,2019-07-08T04:57:55.023Z,"10km NE of Coso Junction, CA",earthquake,0.37,31.61,0.211,25,automatic,ci,ci
2019-07-08T04:52:41.200Z,17.8828,-68.3766,98,2.9,md,8,332,1.0281,0.27,pr,pr2019189002,2019-07-08T07:23:16.824Z,"60km SSE of Boca de Yuma, Dominican Republic",earthquake,2.78,2.9,0.22,8,reviewed,pr,pr
2019-07-08T04:49:48.160Z,35.6445,-117.4226667,5.02,2.83,ml,32,69,0.06623,0.12,ci,ci38483119,2019-07-08T05:00:57.910Z,"14km S of Searles Valley, CA",earthquake,0.21,0.53,0.136,25,automatic,ci,ci
2019-07-08T04:43:16.140Z,36.0208333,-117.8468333,1.89,2.56,ml,22,65,0.03766,0.15,ci,ci38483087,2019-07-08T04:53:49.460Z,"10km ESE of Coso Junction, CA",earthquake,0.25,0.39,0.19,26,automatic,ci,ci
2019-07-08T04:39:49.310Z,36.1258333,-117.8641667,3.77,2.82,ml,24,95,0.01116,0.17,ci,ci38483063,2019-07-08T04:50:44.930Z,"12km NE of Coso Junction, CA",earthquake,0.36,0.5,0.144,25,automatic,ci,ci
2019-07-08T04:29:09.650Z,36.1176667,-117.8831667,5.65,2.69,ml,23,57,0.02292,0.16,ci,ci38482983,2019-07-08T04:39:57.680Z,"10km NE of Coso Junction, CA",earthquake,0.33,0.63,0.187,25,automatic,ci,ci
2019-07-08T04:25:12.610Z,36.1101667,-117.8921667,-0.2,2.48,ml,16,89,0.0311,0.25,ci,ci38482959,2019-07-08T04:29:11.195Z,"9km NE of Coso Junction, CA",earthquake,0.53,31.61,0.215,26,automatic,ci,ci
2019-07-08T04:16:17.397Z,0.6707,126.3669,39.78,5,mb,,51,1.004,0.84,us,us70004egv,2019-07-08T04:35:36.040Z,"111km W of Kota Ternate, Indonesia",earthquake,7,7.2,0.048,137,reviewed,us,us
2019-07-08T04:03:07.860Z,35.6078339,-117.3874969,2.33,3.01,ml,46,30,0.0645,0.2,ci,ci38482775,2019-07-08T15:03:56.015Z,"17km S of Trona, CA",earthquake,0.22,0.44,0.282,24,reviewed,ci,ci
2019-07-08T04:00:46.480Z,35.6615,-117.5248333,12.43,2.45,ml,26,61,0.09058,0.15,ci,ci38482727,2019-07-08T04:11:52.750Z,"14km ENE of Ridgecrest, CA",earthquake,0.27,0.65,0.138,26,automatic,ci,ci
2019-07-08T03:54:14.460Z,36.113,-117.8786667,5.31,2.73,ml,25,56,0.01981,0.15,ci,ci38482695,2019-07-08T04:05:03.700Z,"10km NE of Coso Junction, CA",earthquake,0.28,0.57,0.167,25,automatic,ci,ci
2019-07-08T03:52:01.810Z,35.6591667,-117.527,1.32,2.58,ml,25,80,0.08969,0.17,ci,ci38482671,2019-07-08T04:02:58.540Z,"14km ENE of Ridgecrest, CA",earthquake,0.27,0.58,0.167,27,automatic,ci,ci
2019-07-08T03:51:36.220Z,35.9001667,-117.6995,2.09,2.58,ml,27,52,0.08695,0.17,ci,ci38482663,2019-07-08T04:02:39.860Z,"19km ESE of Little Lake, CA",earthquake,0.23,0.42,0.128,25,automatic,ci,ci
2019-07-08T03:45:33.690Z,35.8701667,-117.7073333,4.91,2.49,ml,28,51,0.07724,0.21,ci,ci38482615,2019-07-08T03:56:30.210Z,"19km ESE of Little Lake, CA",earthquake,0.29,0.76,0.142,25,automatic,ci,ci
2019-07-08T03:37:02.590Z,35.7158333,-117.5283333,1.84,2.5,ml,27,60,0.1145,0.19,ci,ci38482543,2019-07-08T03:48:17.620Z,"13km WSW of Searles Valley, CA",earthquake,0.31,0.58,0.11,25,automatic,ci,ci
2019-07-08T03:15:15.010Z,35.3745,-117.8428333,3.01,2.67,ml,37,39,0.1069,0.16,ci,ci38482383,2019-07-08T04:44:39.879Z,"19km W of Johannesburg, CA",earthquake,0.21,0.99,0.195,25,automatic,ci,ci
2019-07-08T03:12:26.650Z,35.6650009,-117.503334,7.29,3.11,ml,56,63,0.0852,0.15,ci,ci38482375,2019-07-08T15:04:24.265Z,"14km SW of Searles Valley, CA",earthquake,0.18,0.84,0.297,20,reviewed,ci,ci
2019-07-08T02:49:43.283Z,0.5223,126.2554,38.69,4.8,mb,,44,1.138,1.38,us,us70004efc,2019-07-08T03:11:54.040Z,"127km WSW of Kota Ternate, Indonesia",earthquake,6.7,6,0.052,115,reviewed,us,us
2019-07-08T02:46:22.330Z,35.8875,-117.7305,3.45,2.68,ml,26,40,0.08358,0.15,ci,ci38482207,2019-07-08T02:57:29.690Z,"17km ESE of Little Lake, CA",earthquake,0.21,0.74,0.153,25,automatic,ci,ci
2019-07-08T02:42:29.080Z,35.6701667,-117.4961667,6.91,2.64,ml,26,84,0.08795,0.26,ci,ci38482167,2019-07-08T02:46:32.853Z,"14km SW of Searles Valley, CA",earthquake,0.45,1.17,0.123,25,automatic,ci,ci
2019-07-08T02:41:10.490Z,41.1244,-116.5991,8.5,3.6,ml,12,141.72,0.193,0.1245,nn,nn00692858,2019-07-08T16:18:37.089Z,"60km NNE of Battle Mountain, Nevada",earthquake,,3.1,0.16,9,reviewed,nn,nn
2019-07-08T02:35:09.450Z,19.011,-67.7843,13,2.87,md,13,326,0.6969,0.5,pr,pr2019189000,2019-07-08T04:39:54.520Z,"80km NE of Punta Cana, Dominican Republic",earthquake,20.1,28.56,0.23,11,reviewed,pr,pr
2019-07-08T02:35:03.430Z,35.6765,-117.4628333,4.1,2.48,ml,25,65,0.08981,0.17,ci,ci38482103,2019-07-08T02:46:12.340Z,"11km SSW of Searles Valley, CA",earthquake,0.29,0.91,0.175,25,automatic,ci,ci
2019-07-08T02:24:37.441Z,0.7017,126.4342,31.32,5.1,mb,,52,0.935,1.27,us,us70004eeq,2019-07-08T02:42:22.040Z,"104km W of Kota Ternate, Indonesia",earthquake,6.9,5.4,0.047,151,reviewed,us,us
2019-07-08T02:24:15.680Z,35.7313333,-117.5435,6.89,2.81,ml,31,59,0.09499,0.18,ci,ci38482047,2019-07-08T02:35:10.280Z,"13km WSW of Searles Valley, CA",earthquake,0.28,0.84,0.18,25,automatic,ci,ci
2019-07-08T01:57:20.300Z,35.8883333,-117.7296667,2.31,2.54,ml,24,53,0.08459,0.18,ci,ci38481863,2019-07-08T02:08:36.890Z,"17km ESE of Little Lake, CA",earthquake,0.25,0.42,0.18,25,automatic,ci,ci
2019-07-08T01:38:21.110Z,36.108,-117.8746667,5.18,2.78,ml,20,64,0.01867,0.17,ci,ci38481743,2019-07-08T01:42:07.213Z,"10km NE of Coso Junction, CA",earthquake,0.35,0.61,0.165,21,automatic,ci,ci
2019-07-08T01:36:58.200Z,36.1124992,-117.8828354,1.93,3.76,mw,51,54,0.02321,0.15,ci,ci38481735,2019-07-08T07:23:33.442Z,"10km NE of Coso Junction, CA",earthquake,0.2,0.36,,4,reviewed,ci,ci
2019-07-08T00:59:28.132Z,9.6011,126.1984,66.99,5.1,mww,,53,2.588,1.08,us,us70004edt,2019-07-08T10:53:47.453Z,"19km SSE of Union, Philippines",earthquake,7.8,5,0.08,15,reviewed,us,us
2019-07-08T00:39:23.220Z,37.4929,-31.6888,10,4.6,mb,,91,4.901,0.54,us,us70004edn,2019-07-08T00:59:41.040Z,"222km SSW of Santa Cruz das Flores, Portugal",earthquake,11.2,1.9,0.052,109,reviewed,us,us
2019-07-08T00:37:06.130Z,36.5825005,-121.0483322,7.1,2.55,md,38,71,0.008115,0.15,nc,nc73213911,2019-07-08T02:40:49.574Z,"10km ENE of Pinnacles, CA",earthquake,0.31,0.69,0.22,40,automatic,nc,nc
2019-07-08T00:29:31.480Z,35.5765,-117.369,0.17,2.76,ml,30,74,0.05157,0.21,ci,ci38481279,2019-07-08T00:40:12.710Z,"21km S of Trona, CA",earthquake,0.33,31.61,0.131,25,automatic,ci,ci
2019-07-08T00:21:34.784Z,-23.3452,-66.676,209.42,4.2,mb,,104,2.742,0.94,us,us70004edk,2019-07-08T00:46:15.040Z,"101km W of El Aguilar, Argentina",earthquake,11.5,21.4,0.264,4,reviewed,us,us
2019-07-08T00:16:08.280Z,35.5741667,-117.3663333,2.32,2.47,ml,26,75,0.04913,0.21,ci,ci38481175,2019-07-08T00:26:57.270Z,"21km S of Trona, CA",earthquake,0.33,0.54,0.22,25,automatic,ci,ci
2019-07-08T00:13:25.840Z,35.8301659,-117.6648331,4.28,3.01,ml,53,26,0.05657,0.16,ci,ci38481167,2019-07-08T02:09:03.019Z,"23km N of Ridgecrest, CA",earthquake,0.17,0.43,0.256,21,reviewed,ci,ci
2019-07-08T00:09:02.927Z,10.8437,-85.6324,60.71,5.2,mww,,51,0.865,0.92,us,us70004ed6,2019-07-08T15:00:01.355Z,"25km S of La Cruz, Costa Rica",earthquake,5.1,3.3,0.073,18,reviewed,us,us
2019-07-07T23:45:25.600Z,35.6735001,-117.489502,2.61,3.2,ml,27,86,0.08961,0.18,ci,ci38480975,2019-07-08T02:09:25.405Z,"13km SW of Searles Valley, CA",earthquake,0.29,0.6,0.222,26,reviewed,ci,ci
2019-07-07T23:44:57.600Z,35.5563316,-117.3844986,7.8,3.41,ml,63,27,0.03529,0.2,ci,ci38480967,2019-07-08T02:09:40.591Z,"23km S of Trona, CA",earthquake,0.19,0.52,0.268,20,reviewed,ci,ci
2019-07-07T23:36:56.970Z,35.8284988,-117.6713333,4,3.93,mw,59,24,0.06133,0.18,ci,ci38480919,2019-07-08T13:47:02.191Z,"23km N of Ridgecrest, CA",earthquake,0.16,0.47,,4,reviewed,ci,ci
2019-07-07T23:33:28.360Z,35.6848333,-117.541,9.65,2.52,ml,27,64,0.1173,0.16,ci,ci38480855,2019-07-07T23:44:24.300Z,"14km ENE of Ridgecrest, CA",earthquake,0.26,0.68,0.091,25,automatic,ci,ci
2019-07-07T23:21:35.660Z,35.8705,-117.7098333,6.95,2.73,ml,22,67,0.07629,0.14,ci,ci38480775,2019-07-07T23:25:28.469Z,"19km ESE of Little Lake, CA",earthquake,0.23,0.53,0.166,25,automatic,ci,ci
2019-07-07T23:21:12.620Z,36.2215,-117.864,1.87,2.46,ml,18,69,0.104,0.19,ci,ci38480767,2019-07-07T23:25:05.763Z,"14km ESE of Olancha, CA",earthquake,0.4,0.93,0.113,25,automatic,ci,ci
